count,base_pos,outs_when_up,n,xR_vs_xR28,xR,xR28,weight,xRp,diff
0-1,100,2,833,-0.033,0.2845138055222089,0.31787709497206706,0.7691597414589104,0.29221539588459533,0.007701590362386435
0-1,101,0,312,-0.078,1.7275641025641026,1.8052609249045397,0.5551601423487544,1.7621267459539767,0.034562643389874026
0-1,101,1,760,-0.038,1.118421052631579,1.1564871016691958,0.7524752475247525,1.1278433419973257,0.009422289365746739
0-1,101,2,1011,-0.015,0.410484668644906,0.42596026490066224,0.8017446471054719,0.4135527884418442,0.0030681197969381624
0-1,110,0,184,0.021,1.983695652173913,1.9629408248655111,0.423963133640553,1.9717401064893498,-0.011955545684563251
0-1,110,1,452,0.03,1.3561946902654867,1.3261243548783486,0.6438746438746439,1.3454858813669333,-0.010708808898553412
0-1,110,2,484,0.014,0.5433884297520661,0.5294473578055667,0.659400544959128,0.5386401082444029,-0.004748321507663245
0-1,111,0,256,-0.163,2.19140625,2.3540916109109626,0.5059288537549407,2.2717843927425703,0.08037814274257027
0-1,111,1,566,-0.032,1.5053003533568905,1.5369205683671092,0.6936274509803921,1.5149879192301192,0.00968756587322872
0-1,111,2,695,-0.171,0.6014388489208633,0.7720456979650125,0.7354497354497355,0.64657293596958,0.04513408704871669
0-2,000,0,8916,-0.094,0.395580978017048,0.48962984633387735,0.9727252891119355,0.39814613370973917,0.002565155692691168
0-2,000,1,6618,-0.064,0.19643396796615292,0.26008141392281137,0.9635993011065812,0.1987507794817564,0.0023168115156034785
0-2,000,2,5310,-0.041,0.05856873822975518,0.09997459672297726,0.9550359712230215,0.06043051244257992,0.0018617742128247405
0-2,001,0,2096,-0.15,0.7309160305343512,0.8808789650894914,0.8934356351236147,0.7468967354102186,0.015980704875867446
0-2,001,1,2463,-0.1,0.4108810393828664,0.5108631496107254,0.9078510873571692,0.42009428212409927,0.009213242741232863
0-2,001,2,2550,-0.076,0.13411764705882354,0.20985695922107048,0.9107142857142857,0.14088008564473845,0.006762438585914909
0-2,010,0,572,-0.162,0.9807692307692307,1.1427499732075876,0.6958637469586375,1.0300334468392907,0.04926421607005993
0-2,010,1,871,-0.191,0.46039035591274396,0.6513549471325537,0.7769848349687779,0.5029783557387497,0.04258799982600575
0-2,010,2,1143,-0.1,0.20297462817147857,0.30252851810965675,0.8205312275664034,0.2208414425896728,0.017866814418194238
0-2,011,0,449,-0.245,1.3184855233853006,1.5638585026282141,0.642346208869814,1.406244099652437,0.08775857626713646
0-2,011,1,936,-0.229,0.719017094017094,0.9482677902621723,0.7892074198988196,0.767341439768586,0.048324345751492026
0-2,011,2,1000,-0.149,0.276,0.42511068943706515,0.8,0.305822137887413,0.029822137887413003
0-2,100,0,59,-0.297,1.0508474576271187,1.3476044852191642,0.19093851132686085,1.2909421401449548,0.24009468251783606
0-2,100,1,254,-0.153,0.7440944881889764,0.8972312297331005,0.503968253968254,0.8200551734787205,0.07596068528974409
0-2,100,2,420,-0.092,0.2261904761904762,0.31787709497206706,0.6268656716417911,0.26040190110898026,0.03421142491850407
0-2,101,0,171,-0.256,1.5497076023391814,1.8052609249045397,0.40617577197149646,1.7014613568316745,0.15175375449249318
0-2,101,1,410,-0.066,1.0902439024390245,1.1564871016691958,0.6212121212121212,1.115336023359544,0.02509212092051949
0-2,101,2,444,-0.138,0.2882882882882883,0.42596026490066224,0.6397694524495677,0.337881939805714,0.04959365151742573
0-2,110,0,120,-0.363,1.6,1.9629408248655111,0.32432432432432434,1.8452302870712913,0.24523028707129124
0-2,110,1,276,-0.076,1.25,1.3261243548783486,0.5247148288973384,1.2861807770334357,0.036180777033435696
0-2,110,2,268,-0.082,0.44776119402985076,0.5294473578055667,0.5173745173745173,0.4871850182459299,0.03942382421607915
0-2,111,0,157,-0.431,1.9235668789808917,2.3540916109109626,0.3857493857493858,2.1880169600190187,0.26445008103812695
0-2,111,1,315,-0.264,1.273015873015873,1.5369205683671092,0.5575221238938053,1.3897878621093405,0.11677198909346753
0-2,111,2,375,-0.175,0.5973333333333334,0.7720456979650125,0.6,0.6672182791860051,0.06988494585267169
1-0,000,0,12089,0.04,0.5294068988336504,0.48962984633387735,0.9797390388200016,0.5286009775170978,-8.059213165526602e-4
1-0,000,1,9016,0.032,0.292036379769299,0.26008141392281137,0.9730196417008418,0.2911742233413234,-8.621564279756022e-4
1-0,000,2,7419,0.012,0.11174012670171182,0.09997459672297726,0.9674012257139132,0.11135658484557887,-3.835418561329573e-4
1-0,001,0,2835,0.075,0.9555555555555556,0.8808789650894914,0.9189627228525121,0.9495039679975277,-0.006051587558027927
1-0,001,1,3558,0.047,0.5581787521079258,0.5108631496107254,0.9343487394957983,0.5550724231624689,-0.0031063289454569265
1-0,001,2,3686,0.058,0.2677699403147043,0.20985695922107048,0.9364837398373984,0.2640915243407692,-0.0036784159739350897
1-0,010,0,952,0.063,1.2058823529411764,1.1427499732075876,0.7920133111480865,1.1927516583210456,-0.013130694620130834
1-0,010,1,1436,0.102,0.7534818941504178,0.6513549471325537,0.8517200474495848,0.7383385152924901,-0.015143378857927714
1-0,010,2,1955,0.035,0.3370843989769821,0.30252851810965675,0.8866213151927438,0.3331664986518885,-0.003917900325093593
1-0,011,0,744,0.128,1.6922043010752688,1.5638585026282141,0.7484909456740443,1.6599241706811405,-0.03228013039412825
1-0,011,1,1265,0.147,1.0948616600790513,0.9482677902621723,0.834983498349835,1.0706712525185103,-0.024190407560541027
1-0,011,2,1615,0.075,0.5003095975232198,0.42511068943706515,0.8659517426273459,0.49022931493794436,-0.010080282585275435
1-0,100,0,85,0.017,1.3647058823529412,1.3476044852191642,0.2537313432835821,1.3519436456859433,-0.01276223666699794
1-0,100,1,404,0.078,0.9752475247524752,0.8972312297331005,0.617737003058104,0.9454247820080659,-0.029822742744409325
1-0,100,2,734,0.05,0.3678474114441417,0.31787709497206706,0.7459349593495935,0.35515170095835036,-0.012695710485791323
1-0,101,0,240,0.066,1.8708333333333333,1.8052609249045397,0.4897959183673469,1.8373780229104795,-0.03345531042285388
1-0,101,1,497,0.143,1.2997987927565393,1.1564871016691958,0.6653279785809906,1.2518363794073615,-0.047962413349177835
1-0,101,2,777,0.022,0.44787644787644787,0.42596026490066224,0.7565725413826679,0.4425414471520599,-0.005335000724387973
1-0,110,0,180,0.065,2.0277777777777777,1.9629408248655111,0.4186046511627907,1.9900818749218085,-0.03769590285596913
1-0,110,1,428,0.055,1.3808411214953271,1.3261243548783486,0.6312684365781711,1.3606653225952612,-0.020175798900065933
1-0,110,2,527,0.068,0.5977229601518027,0.5294473578055667,0.6782496782496783,0.5757552631292042,-0.021967697022598487
1-0,111,0,210,0.265,2.619047619047619,2.3540916109109626,0.45652173913043476,2.4750497885385663,-0.1439978305090528
1-0,111,1,446,0.089,1.6255605381165918,1.5369205683671092,0.6408045977011494,1.5937214685226686,-0.03183906959392324
1-0,111,2,577,0.197,0.9688041594454073,0.7720456979650125,0.6977025392986699,0.9093245761683835,-0.05947958327702385
1-1,000,0,13218,0.004,0.49402330155848084,0.48962984633387735,0.9814374814374814,0.49394174796432055,-8.155359416028851e-5
1-1,000,1,10000,-0.006,0.2544,0.26008141392281137,0.975609756097561,0.2545385710712881,1.3857107128806279e-4
1-1,000,2,7909,-0.001,0.09912757617903654,0.09997459672297726,0.9693589900723127,0.09915352974393238,2.595356489583367e-5
1-1,001,0,2740,-0.032,0.8485401459854015,0.8808789650894914,0.9163879598662207,0.8512440606262117,0.002703914640810212
1-1,001,1,3458,-0.019,0.49219201850780797,0.5108631496107254,0.9325782092772384,0.49345085960158613,0.0012588410937781624
1-1,001,2,3563,-0.006,0.2037608756665731,0.20985695922107048,0.93443482821925,0.20416056643201352,3.996907654404136e-4
1-1,010,0,927,0.07,1.2125134843581447,1.1427499732075876,0.7875955819881053,1.1976954063737444,-0.014818077984400269
1-1,010,1,1473,0.007,0.658520027155465,0.6513549471325537,0.8549042367962856,0.657480404401125,-0.0010396227543399972
1-1,010,2,1895,0.008,0.3108179419525066,0.30252851810965675,0.8834498834498834,0.3098518086374891,-9.661333150174922e-4
1-1,011,0,701,-0.112,1.4522111269614837,1.5638585026282141,0.7371188222923238,1.481561120564725,0.02934999360324131
1-1,011,1,1235,-0.011,0.9368421052631579,0.9482677902621723,0.8316498316498316,0.938765621256258,0.0019235159931000334
1-1,011,2,1606,-0.013,0.4122042341220423,0.42511068943706515,0.865301724137931,0.41394271140046673,0.0017384772784244107
1-1,100,0,84,0.343,1.6904761904761905,1.3476044852191642,0.25149700598802394,1.4338356925293145,-0.25664049794687593
1-1,100,1,390,0.008,0.9051282051282051,0.8972312297331005,0.609375,0.9020434491144924,-0.0030847560137127195
1-1,100,2,707,0.009,0.32673267326732675,0.31787709497206706,0.7387669801462905,0.3244193038067051,-0.0023133694606216615
1-1,101,0,208,-0.022,1.7836538461538463,1.8052609249045397,0.45414847161572053,1.7954481031138319,0.011794256959985594
1-1,101,1,515,-0.085,1.0718446601941747,1.1564871016691958,0.673202614379085,1.099505588780783,0.02766092858660829
1-1,101,2,802,-0.022,0.40399002493765584,0.42596026490066224,0.7623574144486692,0.4092110895676479,0.005221064629992056
1-1,110,0,154,0.063,2.0259740259740258,1.9629408248655111,0.3811881188118812,1.9869683322187566,-0.03900569375526919
1-1,110,1,364,0.001,1.3269230769230769,1.3261243548783486,0.5928338762214984,1.3265978643641483,-3.2521255892858925e-4
1-1,110,2,496,0.029,0.5584677419354839,0.5294473578055667,0.6648793565683646,0.5487424121332328,-0.009725329802251048
1-1,111,0,190,-0.001,2.3526315789473684,2.3540916109109626,0.4318181818181818,2.353461142563047,8.295636156785413e-4
1-1,111,1,415,-0.036,1.5012048192771084,1.5369205683671092,0.6240601503759399,1.5146317926192139,0.01342697334210552
1-1,111,2,545,-0.095,0.6770642201834862,0.7720456979650125,0.6855345911949685,0.7069326094229599,0.02986838923947366
1-2,000,0,13334,-0.067,0.4223038848057597,0.48962984633387735,0.9815959952885748,0.42354295211892445,0.0012390673131647545
1-2,000,1,9787,-0.059,0.20108306937774598,0.26008141392281137,0.9750921590116569,0.20255259076224993,0.0014695213845039579
1-2,000,2,7937,-0.031,0.069421695854857,0.09997459672297726,0.9694637840478808,0.07035466583372961,9.329699788726137e-4
1-2,001,0,2614,-0.096,0.7850038255547054,0.8808789650894914,0.9127094972067039,0.7933728146900743,0.008368989135368876
1-2,001,1,3317,-0.095,0.41573711184805545,0.5108631496107254,0.9299130922343706,0.4224042016828375,0.006667089834782036
1-2,001,2,3382,-0.074,0.1357185097575399,0.20985695922107048,0.9311674008810573,0.1408216519287631,0.0051031421712231795
1-2,010,0,912,-0.183,0.9594298245614035,1.1427499732075876,0.7848537005163512,0.9988704761634224,0.03944065160201893
1-2,010,1,1395,-0.092,0.5591397849462365,0.6513549471325537,0.8480243161094225,0.5731542472845825,0.014014462338346023
1-2,010,2,1900,-0.041,0.2615789473684211,0.30252851810965675,0.8837209302325582,0.26634052536158803,0.004761577993166954
1-2,011,0,682,-0.125,1.43841642228739,1.5638585026282141,0.7317596566523605,1.472065048988255,0.03364862670086488
1-2,011,1,1259,-0.114,0.8339952343129468,0.9482677902621723,0.8343273691186216,0.8529270692945945,0.018931834981647744
1-2,011,2,1527,-0.1,0.32481990831696134,0.42511068943706515,0.859313449634215,0.3389294723462387,0.014109564029277377
1-2,100,0,101,-0.169,1.1782178217821782,1.3476044852191642,0.28774928774928776,1.2988635934609432,0.120645771678765
1-2,100,1,381,-0.065,0.8320209973753281,0.8972312297331005,0.6038034865293186,0.8578570640780905,0.025836066702762395
1-2,100,2,657,-0.048,0.2694063926940639,0.31787709497206706,0.7243660418963617,0.282766564215013,0.013360171520949093
1-2,101,0,207,-0.027,1.7777777777777777,1.8052609249045397,0.45295404814004375,1.7928123221578445,0.015034544380066794
1-2,101,1,495,-0.169,0.9878787878787879,1.1564871016691958,0.6644295302013423,1.0444587589493946,0.05657997107060664
1-2,101,2,636,-0.116,0.30974842767295596,0.42596026490066224,0.7178329571106095,0.34253957813224106,0.0327911504592851
1-2,110,0,172,-0.195,1.7674418604651163,1.9629408248655111,0.4075829383886256,1.883258782503265,0.11581692203814864
1-2,110,1,397,-0.145,1.181360201511335,1.3261243548783486,0.6136012364760433,1.2372968913749416,0.05593668986360667
1-2,110,2,484,-0.168,0.3615702479338843,0.5294473578055667,0.659400544959128,0.4187491000700159,0.05717885213613161
1-2,111,0,170,0.016,2.3705882352941177,2.3540916109109626,0.40476190476190477,2.3607688160184304,-0.009819419275687302
1-2,111,1,421,-0.145,1.3919239904988123,1.5369205683671092,0.6274217585692996,1.445946560494452,0.05402256999563959
1-2,111,2,518,-0.191,0.581081081081081,0.7720456979650125,0.6744791666666666,0.6432440423063192,0.06216296122523812
2-0,000,0,3960,0.103,0.5926767676767677,0.48962984633387735,0.9406175771971497,0.5865575918250521,-0.006119175851715619
2-0,000,1,2988,0.099,0.3591030789825971,0.26008141392281137,0.922791846819024,0.3514577990984259,-0.0076452798841711855
2-0,000,2,2544,0.036,0.1363993710691824,0.09997459672297726,0.9105225483178239,0.13314017508258566,-0.0032591959865967413
2-0,001,0,921,0.181,1.0618892508143323,0.8808789650894914,0.7865072587532024,1.0232448687210698,-0.038644382093262486
2-0,001,1,1173,0.159,0.670076726342711,0.5108631496107254,0.8243148278285313,0.6421052617025168,-0.027971464640194177
2-0,001,2,1212,0.1,0.3102310231023102,0.20985695922107048,0.8290013679890561,0.29306719548923915,-0.01716382761307106
2-0,010,0,378,0.077,1.2195767195767195,1.1427499732075876,0.6019108280254777,1.1889928237291352,-0.030583895847584364
2-0,010,1,552,0.131,0.782608695652174,0.6513549471325537,0.6882793017456359,0.7416941855151352,-0.04091451013703873
2-0,010,2,833,0.074,0.37695078031212487,0.30252851810965675,0.7691597414589104,0.35977112606409434,-0.01717965424803053
2-0,011,0,238,0.369,1.9327731092436975,1.5638585026282141,0.48770491803278687,1.7437799706087163,-0.18899313863498124
2-0,011,1,418,0.336,1.284688995215311,0.9482677902621723,0.625748502994012,1.1587828556370408,-0.12590613957827035
2-0,011,2,541,0.122,0.5471349353049908,0.42511068943706515,0.683944374209861,0.50856848591563375,-0.03856644938935705
2-0,100,0,46,-0.087,1.2608695652173914,1.3476044852191642,0.1554054054054054,1.3341254098134834,0.07325584459609202
2-0,100,1,155,0.09,0.9870967741935484,0.8972312297331005,0.38271604938271603,0.9316242158846301,-0.055472558308918285
2-0,100,2,322,0.083,0.40062111801242234,0.31787709497206706,0.5629370629370629,0.36445677227800133,-0.03616434573442101
2-0,101,0,89,0.172,1.9775280898876404,1.8052609249045397,0.26253687315634217,1.8504874077467106,-0.12704068214092978
2-0,101,1,161,0.322,1.4782608695652173,1.1564871016691958,0.39172749391727496,1.2825347333754231,-0.19572613618979418
2-0,101,2,248,0.01,0.43548387096774194,0.42596026490066224,0.4979919678714859,0.4307029442272401,-0.004780926740501845
2-0,110,0,76,0.024,1.986842105263158,1.9629408248655111,0.2331288343558282,1.9685129025042263,-0.018329202758931684
2-0,110,1,196,0.062,1.3877551020408163,1.3261243548783486,0.43946188340807174,1.3532087191022133,-0.034546382938603015
2-0,110,2,229,0.016,0.5458515283842795,0.5294473578055667,0.4780793319415449,0.5372898527168929,-0.008561675667386637
2-0,111,0,64,0.349,2.703125,2.3540916109109626,0.20382165605095542,2.4252321742921676,-0.27789282570783236
2-0,111,1,142,0.153,1.6901408450704225,1.5369205683671092,0.3622448979591837,1.5924238318667787,-0.09771701320364379
2-0,111,2,213,0.345,1.1173708920187793,0.7720456979650125,0.46004319654427644,0.93091020408478,-0.18646068793399928
2-1,000,0,6643,0.039,0.5291284058407346,0.48962984633387735,0.9637313216306398,0.5276958452899273,-0.0014325605508073158
2-1,000,1,5084,0.051,0.31136900078678204,0.26008141392281137,0.9531308586426697,0.3089651956281782,-0.0024038051586038334
2-1,000,2,4123,0.024,0.12369633761823914,0.09997459672297726,0.9428310084610108,0.12234018961370782,-0.0013561480045313212
2-1,001,0,1397,0.106,0.9871152469577666,0.8808789650894914,0.8482088646023073,0.9709895211125519,-0.016125725845214767
2-1,001,1,1729,0.084,0.5951417004048583,0.5108631496107254,0.8736735725113693,0.5844950921691163,-0.010646608235741928
2-1,001,2,1757,0.041,0.2504268639726807,0.20985695922107048,0.8754359740906826,0.2453733133060626,-0.005053550666618112
2-1,010,0,535,0.145,1.2878504672897195,1.1427499732075876,0.6815286624203821,1.2416401188559196,-0.0462103484337999
2-1,010,1,834,0.027,0.6786570743405276,0.6513549471325537,0.7693726937269373,0.6723604582870281,-0.006296616053499515
2-1,010,2,1100,0.015,0.31727272727272726,0.30252851810965675,0.8148148148148148,0.3145423181684549,-0.0027304091042723577
2-1,011,0,326,-0.012,1.5521472392638036,1.5638585026282141,0.5659722222222222,1.557230252876829,0.005083013613025322
2-1,011,1,592,0.047,0.9949324324324325,0.9482677902621723,0.7030878859857482,0.981077134875942,-0.013855297556490509
2-1,011,2,830,0.012,0.43734939759036146,0.42511068943706515,0.7685185185185185,0.43451636329561694,-0.0028330342947445186
2-1,100,0,48,0.319,1.6666666666666667,1.3476044852191642,0.1610738255033557,1.3989970513583594,-0.26766961530830735
2-1,100,1,229,0.033,0.9301310043668122,0.8972312297331005,0.4780793319415449,0.9129599320110129,-0.01717107235579929
2-1,100,2,426,0.018,0.33568075117370894,0.31787709497206706,0.6301775147928994,0.32909655879144495,-0.006584192382263987
2-1,101,0,100,0.125,1.93,1.8052609249045397,0.2857142857142857,1.8409006606460998,-0.08909933935390013
2-1,101,1,231,0.03,1.1861471861471862,1.1564871016691958,0.4802494802494803,1.1707313418239063,-0.015415844323279915
2-1,101,2,406,0.015,0.4408866995073892,0.42596026490066224,0.6189024390243902,0.4351982716847036,-0.005688427822685582
2-1,110,0,85,-0.01,1.9529411764705882,1.9629408248655111,0.2537313432835821,1.9604036006459038,0.007462424175315618
2-1,110,1,208,-0.047,1.2788461538461537,1.3261243548783486,0.45414847161572053,1.3046530321388365,0.0258068782926828
2-1,110,2,309,0.034,0.5631067961165048,0.5294473578055667,0.552772808586762,0.5480533800561569,-0.015053416060347935
2-1,111,0,90,0.124,2.477777777777778,2.3540916109109626,0.2647058823529412,2.386832066846296,-0.09094571093148174
2-1,111,1,220,0.095,1.6318181818181818,1.5369205683671092,0.46808510638297873,1.5813407278548453,-0.05047745396333658
2-1,111,2,308,0.173,0.9448051948051948,0.7720456979650125,0.5519713261648745,0.8674039865434644,-0.07740120826173036
2-2,000,0,11460,-0.037,0.4525305410122164,0.48962984633387735,0.9786507258753202,0.45332258425136374,7.920432391473331e-4
2-2,000,1,8555,-0.024,0.2360023378141438,0.26008141392281137,0.9716070414537195,0.23668601402392994,6.836762097861548e-4
2-2,000,2,6953,-0.012,0.08845102833309362,0.09997459672297726,0.9652922393447175,0.08885098558666447,3.999572535708512e-4
2-2,001,0,2002,-0.051,0.8301698301698301,0.8808789650894914,0.88898756660746,0.8357991746324924,0.005629344462662278
2-2,001,1,2594,-0.071,0.43986121819583657,0.5108631496107254,0.9120956399437412,0.4461025975396207,0.006241379343784159
2-2,001,2,2668,-0.051,0.15892053973013492,0.20985695922107048,0.914324880054832,0.16328452357959822,0.004363983849463293
2-2,010,0,843,-0.079,1.0640569395017794,1.1427499732075876,0.7712717291857274,1.0820562610264381,0.017999321524658773
2-2,010,1,1291,-0.019,0.6320681642137878,0.6513549471325537,0.8377676833225178,0.6351971036879548,0.0031289394741670362
2-2,010,2,1816,-0.045,0.2577092511013216,0.30252851810965675,0.8789932236205228,0.2631326861216913,0.005423435020369682
