count,base_pos,outs_when_up,n,xR_vs_xR28,xR,xR28
1-0,001,1,3561,0.047,0.5574276888514462,0.5105521989602361
1-0,001,2,3686,0.058,0.2677699403147043,0.20980799737432307
1-0,010,0,952,0.064,1.2058823529411764,1.1419541461324192
1-0,010,1,1437,0.103,0.7543493389004872,0.6511269774604508
1-0,010,2,1955,0.035,0.3370843989769821,0.30235492010092513
1-0,011,0,744,0.129,1.6935483870967742,1.5644084647067178
1-0,011,1,1264,0.149,1.0973101265822784,0.9484978540772532
1-0,011,2,1616,0.076,0.5006188118811881,0.4250189825360668
1-0,100,0,85,0.017,1.3647058823529412,1.3476044852191642
1-0,100,1,404,0.078,0.9752475247524752,0.8973080757726819
1-0,100,2,733,0.05,0.3683492496589359,0.3179214974158402
1-0,101,0,240,0.065,1.8708333333333333,1.8062738448495126
1-0,101,1,497,0.143,1.2997987927565393,1.1569259962049336
1-0,101,2,777,0.022,0.44787644787644787,0.42601669095244404
1-0,110,0,180,0.065,2.0277777777777777,1.9629408248655111
1-0,110,1,428,0.056,1.3831775700934579,1.3271073973949374
1-0,110,2,527,0.067,0.5958254269449715,0.5283437563042163
1-0,111,0,210,0.264,2.619047619047619,2.3546062789500772
1-0,111,1,448,0.084,1.6205357142857142,1.5363128491620113
1-0,111,2,577,0.197,0.9688041594454073,0.7720614505180422
1-1,000,0,13214,0.005,0.49417284698047526,0.489599211664896
1-1,000,1,10001,-0.006,0.2542745725427457,0.2598318080633193
1-1,000,2,7914,-0.001,0.09893858984078847,0.09991362666395691
1-1,001,0,2741,-0.033,0.8482305727836555,0.8809287486706842
1-1,001,1,3459,-0.019,0.49176062445793584,0.5105521989602361
1-1,001,2,3563,-0.007,0.20291888857704182,0.20980799737432307
1-1,010,0,925,0.068,1.2097297297297298,1.1419541461324192
1-1,010,1,1473,0.007,0.658520027155465,0.6511269774604508
1-1,010,2,1894,0.009,0.3109820485744456,0.30235492010092513
1-1,011,0,703,-0.112,1.4523470839260313,1.5644084647067178
1-1,011,1,1235,-0.012,0.9360323886639677,0.9484978540772532
1-1,011,2,1603,-0.014,0.4111041796631316,0.4250189825360668
1-1,100,0,84,0.343,1.6904761904761905,1.3476044852191642
1-1,100,1,390,0.008,0.9051282051282051,0.8973080757726819
1-1,100,2,707,0.009,0.32673267326732675,0.3179214974158402
1-1,101,0,208,-0.023,1.7836538461538463,1.8062738448495126
1-1,101,1,515,-0.085,1.0718446601941747,1.1569259962049336
1-1,101,2,802,-0.022,0.40399002493765584,0.42601669095244404
1-1,110,0,154,0.063,2.0259740259740258,1.9629408248655111
1-1,110,1,365,0.004,1.3315068493150686,1.3271073973949374
1-1,110,2,496,0.03,0.5584677419354839,0.5283437563042163
1-1,111,0,189,-0,2.3544973544973544,2.3546062789500772
1-1,111,1,415,-0.035,1.5012048192771084,1.5363128491620113
1-1,111,2,545,-0.095,0.6770642201834862,0.7720614505180422
1-2,000,0,13344,-0.067,0.4223621103117506,0.489599211664896
1-2,000,1,9790,-0.059,0.20081716036772215,0.2598318080633193
1-2,000,2,7936,-0.03,0.0694304435483871,0.09991362666395691
1-2,001,0,2615,-0.095,0.7854684512428298,0.8809287486706842
1-2,001,1,3317,-0.095,0.4151341573711185,0.5105521989602361
1-2,001,2,3383,-0.074,0.135678391959799,0.20980799737432307
1-2,010,0,912,-0.183,0.9594298245614035,1.1419541461324192
1-2,010,1,1396,-0.094,0.5573065902578797,0.6511269774604508
1-2,010,2,1900,-0.041,0.2615789473684211,0.30235492010092513
1-2,011,0,683,-0.122,1.4421669106881405,1.5644084647067178
1-2,011,1,1259,-0.115,0.8332009531374106,0.9484978540772532
1-2,011,2,1526,-0.1,0.32503276539973786,0.4250189825360668
1-2,100,0,101,-0.169,1.1782178217821782,1.3476044852191642
1-2,100,1,381,-0.065,0.8320209973753281,0.8973080757726819
1-2,100,2,657,-0.049,0.2694063926940639,0.3179214974158402
1-2,101,0,208,-0.032,1.7740384615384615,1.8062738448495126
1-2,101,1,494,-0.167,0.9898785425101214,1.1569259962049336
1-2,101,2,636,-0.116,0.30974842767295596,0.42601669095244404
1-2,110,0,172,-0.195,1.7674418604651163,1.9629408248655111
1-2,110,1,397,-0.146,1.181360201511335,1.3271073973949374
1-2,110,2,484,-0.167,0.3615702479338843,0.5283437563042163
1-2,111,0,170,0.016,2.3705882352941177,2.3546062789500772
1-2,111,1,422,-0.145,1.3909952606635072,1.5363128491620113
1-2,111,2,519,-0.192,0.5799614643545279,0.7720614505180422
2-0,000,0,3957,0.103,0.59236795552186,0.489599211664896
2-0,000,1,2986,0.1,0.35934360348292027,0.2598318080633193
2-0,000,2,2543,0.037,0.13645300825796303,0.09991362666395691
2-0,001,0,922,0.18,1.0607375271149675,0.8809287486706842
2-0,001,1,1171,0.16,0.6703672075149445,0.5105521989602361
2-0,001,2,1213,0.1,0.3099752679307502,0.20980799737432307
