base_pos,outs_when_up,avg_runs
000,0,0.489599211664896
000,1,0.2598318080633193
000,2,0.09991362666395691
001,0,0.8809287486706842
001,1,0.5105521989602361
001,2,0.20980799737432307
010,0,1.1419541461324192
010,1,0.6511269774604508
010,2,0.30235492010092513
011,0,1.5644084647067178
011,1,0.9484978540772532
011,2,0.4250189825360668
100,0,1.3476044852191642
100,1,0.8973080757726819
100,2,0.3179214974158402
101,0,1.8062738448495126
101,1,1.1569259962049336
101,2,0.42601669095244404
110,0,1.9629408248655111
110,1,1.3271073973949374
110,2,0.5283437563042163
111,0,2.3546062789500772
111,1,1.5363128491620113
111,2,0.7720614505180422
